snapshot_id,collected_at_pt,sport,league,event_id,event_start_utc,venue,venue_city,venue_state,venue_indoor,latitude,longitude,weather_time_utc,source,observation_type,temperature_2m,apparent_temperature,relative_humidity_2m,precipitation_probability,precipitation,rain,snowfall,weather_code,surface_pressure,wind_speed_10m,wind_direction_10m,wind_gusts_10m
OPEN_METEO-FORECAST-401858226-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NCAA_Football,NCAA_Football,401858226,2026-09-18T23:30:00+00:00,Allegacy Federal Credit Union Stadium,Winston-Salem,NC,False,36.09986,-80.24422,2026-09-18T23:00Z,OPEN_METEO_FORECAST,FORECAST,83.7,87.9,58,24,0.0,0.0,0.0,3,983.7,5.6,61,9.2
OPEN_METEO-FORECAST-401816984-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401816984,2026-09-18T22:40:00+00:00,Great American Ball Park,Cincinnati,Ohio,False,39.12711,-84.51439,2026-09-18T23:00Z,OPEN_METEO_FORECAST,FORECAST,72.3,76.2,86,3,0.0,0.0,0.0,3,988.1,6.9,29,15.2
OPEN_METEO-FORECAST-401816985-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401816985,2026-09-18T22:40:00+00:00,PNC Park,Pittsburgh,Pennsylvania,False,40.44062,-79.99589,2026-09-18T23:00Z,OPEN_METEO_FORECAST,FORECAST,71.7,75.0,76,0,0.0,0.0,0.0,1,992.1,3.8,360,11.2
OPEN_METEO-FORECAST-401816986-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401816986,2026-09-18T23:05:00+00:00,Oriole Park at Camden Yards,Baltimore,Maryland,False,39.29038,-76.61219,2026-09-18T23:00Z,OPEN_METEO_FORECAST,FORECAST,77.9,76.8,45,0,0.0,0.0,0.0,0,1015.1,6.3,360,14.8
OPEN_METEO-FORECAST-401816987-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401816987,2026-09-18T23:10:00+00:00,Citi Field,Queens,New York,False,40.68149,-73.83652,2026-09-18T23:00Z,OPEN_METEO_FORECAST,FORECAST,73.4,72.5,53,0,0.0,0.0,0.0,0,1017.1,5.9,11,15.0
OPEN_METEO-FORECAST-401816989-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401816989,2026-09-18T23:40:00+00:00,Rate Field,Chicago,Illinois,False,41.85003,-87.65005,2026-09-18T23:00Z,OPEN_METEO_FORECAST,FORECAST,66.2,66.1,81,3,0.0,0.0,0.0,3,1000.7,8.6,53,16.1
OPEN_METEO-FORECAST-401816981-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401816981,2026-09-18T01:38:00+00:00,Angel Stadium,Anaheim,California,False,33.83529,-117.9145,2026-09-18T02:00Z,OPEN_METEO_FORECAST,FORECAST,73.4,73.5,61,0,0.0,0.0,0.0,0,1011.3,6.9,274,9.8
OPEN_METEO-FORECAST-401872945-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,NFL,NFL,401872945,2026-09-21T00:20:00+00:00,Arrowhead Stadium,Kansas City,MO,False,39.09973,-94.57857,2026-09-21T00:00Z,OPEN_METEO_FORECAST,FORECAST,74.0,75.9,74,46,0.0,0.0,0.0,3,979.1,8.5,6,13.6
OPEN_METEO-FORECAST-401817027-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817027,2026-09-21T22:35:00+00:00,Oriole Park at Camden Yards,Baltimore,Maryland,False,39.29038,-76.61219,2026-09-21T23:00Z,OPEN_METEO_FORECAST,FORECAST,71.7,71.6,67,32,0.0,0.0,0.0,3,1016.3,8.1,74,11.0
OPEN_METEO-FORECAST-401817028-20260917T180632Z,2026-09-17T11:06:32.479998-07:00,MLB,MLB,401817028,2026-09-21T22:40:00+00:00,Comerica Park,Detroit,Michigan,False,42.33143,-83.04575,2026-09-21T23:00Z,OPEN_METEO_FORECAST,FORECAST,53.7,49.0,91,11,0.028,0.028,0.0,53,998.6,12.2,54,17.9
